crunch_id,name,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
3taps,"3taps",0,0,1,0,0,0,0.0,0,1,0,0,1,0
3to30-com,"3to30.com",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3touch,"3Touch",0,0,1,0,0,1,0.0272,0,0,1,0,0,0
3vectores-comunicacin,"3Vectores ComunicaciÃ³n",0,0,2,0,0,0,0.0,0,0,0,0,0,0
3wine,"3Wine",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3zaps,"3Zaps",1,0,1,0,0,0,0.0,0,0,0,0,0,0
4-ace-technologies,"4 Ace Technologies",0,0,1,0,0,0,0.0,0,0,0,0,0,0
4-fingers-social-ratings,"4 Fingers Social Ratings",1,0,0,0,0,0,0.0,0,0,0,0,0,0
4-flashes-photo-booths,"4 FLASHES PHOTO BOOTHS",0,0,1,0,0,0,0.0,0,0,0,0,0,0
4-showbiz,"4-Showbiz",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4-tell,"4-Tell",0,0,1,0,0,2,0.103,0,0,8,0,2,0
40-dating,"40 Dating",0,0,0,0,0,0,0.0,0,0,0,0,0,0
400,"400",0,1,1,0,0,0,0.0,0,0,0,0,3,0
40billion,"40Billion",0,0,1,0,0,3,0.105,0,0,0,0,2,0
40nuggets,"40Nuggets",0,0,0,2,0,0,0.0,0,0,0,0,3,0
410-labs,"410 Labs",0,0,1,2,0,1,0.075,0,0,4,0,0,0
411-buy-it-now,"411 Buy it Now",0,0,1,0,0,0,0.0,0,0,0,0,0,0
415-ventures,"415 Ventures",0,5,1,0,0,0,0.0,0,0,0,5,1,0
42-coffee-cups,"42 Coffee Cups",0,0,2,1,0,0,0.0,0,0,0,0,0,0
420list-org,"420list.org",0,0,0,0,0,0,0.0,0,0,0,0,0,0
42dev,"42dev",0,0,1,0,0,0,0.0,0,0,0,0,0,0
42floors,"42Floors",0,0,0,0,0,3,1.77,0,0,12,0,7,2
42goals,"42goals",1,0,1,0,0,0,0.0,0,0,0,0,0,0
