crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,success
appsplit,0,0,1,0,1,1,0.003,0,0,1,0
appstack,0,1,1,0,0,1,0.15,0,0,12,0
appstark,0,0,0,0,0,0,0.0,0,0,0,0
appstem-media,0,0,2,0,0,0,0.0,0,0,0,0
appsto-re,0,0,0,2,0,0,0.0,0,0,0,0
appstorehq,0,0,1,0,0,0,0.0,0,0,0,0
appstrakt,0,0,1,0,0,0,0.0,0,0,0,0
appsurdity,0,0,1,0,0,0,0.0,0,0,0,0
appsversusrobots,0,0,1,0,0,0,0.0,0,0,0,0
appswell,0,0,1,0,1,1,0.001,0,0,1,0
appswork,0,0,1,0,0,0,0.0,0,0,0,0
apptamin,0,0,0,0,0,0,0.0,0,0,0,0
apptastik,0,0,0,0,0,0,0.0,0,0,0,0
apptech-corp,0,0,0,0,0,0,0.0,0,0,0,0
apptech-global,0,0,1,0,2,0,0.0,0,0,0,1
apptellect,0,0,1,0,0,0,0.0,0,0,0,0
apptentive,0,0,0,0,0,1,0.12,0,0,4,0
apptera,0,0,1,0,1,3,3.02,0,0,10,0
appthegame,0,0,1,0,0,1,0.0,0,0,1,0
appthwack,0,0,1,0,0,0,0.0,0,0,0,0
apptiger,0,0,0,0,0,0,0.0,0,0,0,0
apptive,0,0,1,0,0,0,0.0,0,0,0,0
apptizr,0,0,0,0,0,0,0.0,0,0,0,0
apptopia,0,1,1,0,0,1,0.1,0,0,2,0
apptornado,0,4,1,2,0,0,0.0,0,0,0,0
apptradr,0,0,1,0,0,0,0.0,0,0,0,0
appturbo,0,0,1,0,0,0,0.0,0,0,0,0
apptus-mobile,0,0,1,0,0,0,0.0,0,0,0,0
apptwits,0,3,0,0,0,0,0.0,0,0,0,0
appubator,0,0,1,0,0,0,0.0,0,0,0,0
appurify,0,0,1,0,0,0,0.0,0,0,0,0
appuware,0,3,1,0,0,0,0.0,0,0,0,0
appvee,0,0,1,0,0,0,0.0,0,0,0,1
appvetica,0,0,1,0,0,0,0.0,0,0,0,0
appvoyage,0,0,1,0,0,0,0.0,0,0,0,0
appwhirl,0,2,1,0,1,0,0.0,0,0,0,0
appworld-co,0,0,1,0,0,0,0.0,0,0,0,0
appwoz,0,0,2,5,0,0,0.0,0,0,0,0
appy,0,0,1,0,0,0,0.0,0,0,0,0
appyzilla,0,0,0,0,0,0,0.0,0,0,0,0
appzorz,0,0,1,0,0,0,0.0,0,0,0,0
apriva,14,5,6,17,3,0,0.0,0,0,0,0
apsalar,0,0,1,2,0,2,0.58,0,0,9,0
apsmart,0,0,0,0,0,1,0.0,0,0,1,1
aptilo-networks,1,0,4,0,0,0,0.0,1,0,0,0
aptito-com,0,0,4,0,0,1,0.06,0,0,1,0
aptoide,0,4,2,0,0,0,0.0,0,0,0,0
aqa-63336,0,0,1,0,0,0,0.0,0,0,0,0
aquariform-designs,0,0,0,5,0,0,0.0,0,0,0,0
aradiom,0,0,1,1,0,0,0.0,0,0,0,0
arc-mobile,0,1,0,0,0,0,0.0,0,0,0,0
arc-wireless,0,0,1,0,0,0,0.0,1,0,0,0
arch,0,0,0,0,0,0,0.0,0,0,0,0
archimedes-labs,0,0,1,0,0,0,0.0,0,8,0,0
archimedes-ventures,0,0,1,0,0,0,0.0,0,7,0,0
arctouch,0,0,1,5,0,0,0.0,0,0,0,0
arello-mobile,2,0,1,0,0,0,0.0,0,0,0,0
arena-social,0,0,0,0,0,0,0.0,0,0,0,0
argus-labs,0,4,1,0,0,1,0.02,0,0,2,0
arieso,0,2,1,0,0,1,0.221,0,0,4,1
arkalogic-systems,0,0,1,0,0,0,0.0,0,0,0,0
arkenea-technologies,0,0,1,0,0,0,0.0,0,0,0,0
arl-mobile,0,0,1,0,0,0,0.0,0,0,0,0
armadealo,8,0,1,0,0,0,0.0,0,0,0,0
around-the-way,0,2,0,0,0,0,0.0,0,0,0,0
aroundme,0,0,0,0,0,0,0.0,0,0,0,0
aroundmyhotel,0,0,1,0,0,0,0.0,0,0,0,0
arsenal-interactive,0,0,1,1,1,0,0.0,0,0,0,0
artecs-incorporated,0,0,1,0,0,0,0.0,0,0,0,0
artificial-life,0,0,2,7,0,0,0.0,0,0,0,0
aryty,0,0,0,0,0,0,0.0,0,0,0,0
ascent-it-solutions-pvt-ltd,0,0,1,0,0,0,0.0,0,0,0,0
askem-2,0,0,0,0,0,0,0.0,0,0,0,0
asker,0,0,1,0,0,1,0.005,0,0,2,0
askmenow,0,0,1,0,0,0,0.0,0,0,0,0
aslpin,0,0,0,0,0,0,0.0,0,0,0,0
asocs,0,0,1,0,0,4,1.6,0,0,8,0
aspects-software,0,0,2,0,0,1,0.5,0,0,0,0
aspira-networks,0,0,1,0,0,0,0.0,0,0,0,0
astra-communications,0,0,1,0,0,0,0.0,0,0,0,0
astro,0,4,0,0,0,0,0.0,0,0,0,0
asyncast-corporation,0,0,1,0,1,0,0.0,0,0,0,0
at-t-phone-unlocking,0,0,0,0,0,0,0.0,0,0,0,0
at-t-wireless,0,0,1,0,0,0,0.0,0,0,0,0
at-t,7,6,1,1,3,0,0.0,13,12,0,1
atari-interactive,0,0,1,0,0,0,0.0,0,0,0,0
atawao,0,0,1,0,0,0,0.0,0,0,0,0
atlas-interactive-deutschland-gmbh,0,9,3,2,0,0,0.0,0,0,0,0
atlas-powered,0,0,1,0,0,1,0.07,0,0,4,0
atomic-axis,0,0,0,0,0,0,0.0,0,0,0,0
atomic-mobile,0,0,0,0,0,0,0.0,0,0,0,0
atooma,1,4,2,0,1,2,0.0125,0,0,2,0
atrua,0,0,1,0,0,3,1.3,0,0,9,1
attassa,0,0,1,2,0,0,0.0,0,0,0,1
attphoneunlockingshop,0,0,0,0,0,0,0.0,0,0,0,0
atx-innovation,0,0,1,0,2,2,0.205,0,0,3,0
audiko,0,0,0,1,0,0,0.0,0,0,0,0
audioboo,0,0,1,0,0,0,0.0,0,0,0,0
audioplayce,0,0,1,0,0,0,0.0,0,0,0,0
audiosnaps,0,0,0,0,0,0,0.0,0,0,0,0
audition-rush,0,0,0,0,0,0,0.0,0,0,0,0
auer-media-entertainment-corp,0,0,1,0,0,0,0.0,0,0,0,0
augment,0,5,1,0,0,1,0.022,0,0,0,0
augmentra,6,2,1,0,0,2,0.1,0,0,3,0
aurality,0,0,1,0,0,1,0.03,0,0,5,0
auraslate,0,3,1,0,0,0,0.0,0,0,0,0
aurasma,0,0,1,0,0,0,0.0,0,0,0,0
aurnhammer-llc,0,0,1,0,2,0,0.0,0,0,0,0
aurora-feint,1,0,1,0,0,2,0.766,0,0,2,0
autoqr,0,0,0,0,0,0,0.0,0,0,0,0
autoupdateapk,0,0,0,0,0,0,0.0,0,0,0,0
autresphere,0,0,1,0,0,0,0.0,0,0,0,0
autrun,0,0,0,0,0,0,0.0,0,0,0,0
avaak,0,0,1,0,0,2,1.7,0,0,7,0
avalan-wireless-systems,0,0,1,0,0,1,0.07,0,0,1,0
avalinx,0,0,0,0,0,0,0.0,0,0,0,0
avantar,0,0,1,0,0,0,0.0,0,0,0,0
avatron-software,0,7,1,3,0,0,0.0,0,0,0,0
