crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
8coupons,0,15,1,0,0,0,0.0,0,0,0,3,2,0
8i-creations,0,0,2,1,0,0,0.0,0,0,0,0,3,0
8kmiles-software-services,0,0,1,0,0,0,0.0,1,0,0,0,0,0
8ninths,0,0,0,0,0,0,0.0,0,0,0,0,2,0
8peek,0,0,1,0,0,0,0.0,0,0,0,0,0,0
8tracks,0,0,1,0,0,1,0.12,0,0,0,0,2,0
8villages,3,0,2,0,0,0,0.0,0,0,0,0,0,0
9-1-1-labs-inc,0,0,1,0,0,0,0.0,0,0,0,0,0,0
90-degree-media,0,0,1,0,0,0,0.0,0,0,0,0,0,0
909brokers,0,0,0,0,0,0,0.0,0,0,0,0,0,0
911ice,0,0,1,0,0,0,0.0,0,0,0,0,0,0
92higo,0,0,0,0,0,0,0.0,0,0,0,0,0,0
955-dreams,0,2,1,1,0,1,0.325,0,0,6,0,3,0
977-media-llc,1,0,1,0,0,0,0.0,0,0,0,0,0,0
98labs,0,0,0,0,0,0,0.0,0,0,0,0,0,0
99-apps,0,0,1,0,0,0,0.0,0,0,0,0,2,0
99beststores,0,0,0,0,0,0,0.0,0,0,0,0,1,0
99coders,0,0,0,0,0,0,0.0,0,0,0,0,0,0
99deals,0,0,0,0,0,0,0.0,0,0,0,0,0,0
99dresses,0,0,1,0,1,1,0.0,0,0,1,0,1,0
99fusion-technosoft,0,0,1,0,0,0,0.0,0,0,0,0,0,0
99labels,0,1,1,0,0,0,0.0,0,0,0,0,3,0
99launch-es,0,0,0,0,0,0,0.0,0,0,0,0,0,0
